latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-6.7921,-44.44242,307.8,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,283.9,1.9,N
-6.79276,-44.4384,306.1,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,284.6,1.3,N
-7.05466,-46.44344,303.3,0.56,0.43,2021-01-01,0406,1,nominal,2.0NRT,266,1.4,N
-8.08787,-44.60743,322.6,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,287.6,1.7,N
-8.08722,-44.61142,302.7,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,287.7,0.8,N
-8.09074,-44.61202,309.1,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,288.3,0.8,N
-8.09139,-44.60803,311.8,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,287.6,1.7,N
-8.09204,-44.60403,317.4,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,288.3,1.7,N
-8.09491,-44.60862,305.9,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,288.8,1.1,N
-8.09556,-44.60462,304.4,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,289.5,1.1,N
-8.20233,-45.99656,314.1,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,284,1.9,N
-8.20177,-45.99877,300.7,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,283.4,1.1,N
-8.20256,-45.99416,308.4,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,283.5,1.1,N
-9.47503,-40.79964,308.6,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,294.1,1,N
-9.58852,-40.48717,305.3,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,293.6,0.7,N
-10.33585,-36.76033,300.7,0.43,0.46,2021-01-01,0406,1,nominal,2.0NRT,288,0.8,N
-10.33639,-36.75648,306.5,0.43,0.46,2021-01-01,0406,1,nominal,2.0NRT,289.8,1.2,N
-8.80864,-48.56509,321.8,0.48,0.48,2021-01-01,0406,1,nominal,2.0NRT,287.2,4,N
-9.79915,-44.69368,331.8,0.43,0.38,2021-01-01,0406,1,nominal,2.0NRT,293.9,3.8,N
-9.80199,-44.69814,307.4,0.43,0.38,2021-01-01,0406,1,nominal,2.0NRT,292.6,0.9,N
-8.90125,-50.11604,309.7,0.61,0.53,2021-01-01,0406,1,nominal,2.0NRT,285.7,1.8,N
-8.89816,-50.11754,306.3,0.61,0.53,2021-01-01,0406,1,nominal,2.0NRT,285.3,1.5,N
-10.52546,-45.10525,313.9,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,291.9,1,N
-10.5261,-45.10431,312.2,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,291.9,1.3,N
-10.01908,-48.59539,305.2,0.46,0.47,2021-01-01,0406,1,nominal,2.0NRT,290.1,1.4,N
-10.82933,-45.15307,308.1,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,292.7,1.6,N
-10.33599,-49.39777,304.1,0.52,0.5,2021-01-01,0406,1,nominal,2.0NRT,290.5,1.4,N
-10.33238,-49.39507,306.8,0.51,0.5,2021-01-01,0406,1,nominal,2.0NRT,290.6,1.1,N
-11.14946,-45.16894,305.3,0.43,0.38,2021-01-01,0406,1,nominal,2.0NRT,292.2,0.6,N
-11.8302,-41.21703,316.2,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,290,2.4,N
-11.83075,-41.21338,313.5,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,290.4,2.4,N
-11.8313,-41.20975,307.7,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,289.7,7.9,N
-11.83413,-41.2139,345.8,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,291.2,2.4,N
-11.83468,-41.21026,367,0.4,0.37,2021-01-01,0406,1,high,2.0NRT,293.6,7.9,N
-11.83358,-41.21755,305.2,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,289.5,2.4,N
-11.89388,-41.35401,300.1,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,288.6,0.6,N
-11.89725,-41.35454,329.2,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,291.2,3.1,N
-12.39545,-38.34535,312.7,0.55,0.42,2021-01-01,0406,1,nominal,2.0NRT,275.2,1.5,N
-12.39935,-38.34592,299.5,0.55,0.42,2021-01-01,0406,1,nominal,2.0NRT,275.2,1.5,N
-10.49593,-50.14043,302.7,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,288.7,1.4,N
-10.5007,-50.14134,319.2,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,288.7,1.4,N
-10.52254,-50.12929,326.3,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,288.5,3.7,N
-10.52346,-50.12408,325.1,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,288.9,3.7,N
-10.52325,-50.12564,329.5,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,289.1,3.4,N
-10.52229,-50.13085,316.2,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,288.6,2.6,N
-10.52422,-50.12045,306.8,0.57,0.52,2021-01-01,0406,1,nominal,2.0NRT,289.3,3.4,N
-11.35106,-47.28524,313.5,0.55,0.43,2021-01-01,0406,1,nominal,2.0NRT,295.2,2.5,N
-11.34727,-47.28619,305,0.55,0.43,2021-01-01,0406,1,nominal,2.0NRT,294.8,1.3,N
-11.35118,-47.28685,310.5,0.55,0.43,2021-01-01,0406,1,nominal,2.0NRT,294.9,1.9,N
-12.61701,-40.01012,311.5,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,291.5,1,N
-11.95374,-44.35271,307.9,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,291.7,0.6,N
-11.98433,-44.86799,330.3,0.42,0.37,2021-01-01,0406,1,nominal,2.0NRT,293.9,3,N
-11.98369,-44.87179,313,0.42,0.37,2021-01-01,0406,1,nominal,2.0NRT,292.6,1.2,N
-12.41842,-43.79903,307.4,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,291.7,0.6,N
-12.1072,-46.9236,317.5,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,293.3,3,N
-12.11284,-46.891,309.5,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,293.3,2.6,N
-12.11364,-46.88638,313.7,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,293.9,2.6,N
-12.11097,-46.92426,329.4,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,295.1,3,N
-12.1174,-46.88705,335.4,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,294.9,2.6,N
-12.11017,-46.92893,315,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,292.9,3,N
-12.11178,-46.91957,316.4,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,294,3,N
-12.12037,-46.89233,308,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,293.3,1.1,N
-12.12117,-46.88771,304,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,292.7,1.1,N
-12.39056,-45.7735,311.5,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,291.5,0.9,N
-12.54764,-45.1137,344.9,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,293.2,6.7,N
-12.55109,-45.11426,300.6,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,290.4,0.6,N
-11.93569,-49.61377,314.1,0.5,0.49,2021-01-01,0406,1,nominal,2.0NRT,293.2,1.8,N
-12.34188,-48.30523,338.4,0.41,0.45,2021-01-01,0406,1,nominal,2.0NRT,296.5,5.6,N
-12.34122,-48.30898,312.4,0.41,0.45,2021-01-01,0406,1,nominal,2.0NRT,294.1,5.6,N
-12.65067,-46.83818,327.9,0.5,0.41,2021-01-01,0406,1,nominal,2.0NRT,295.3,4.6,N
-12.64988,-46.84276,304.3,0.5,0.41,2021-01-01,0406,1,nominal,2.0NRT,293.5,4.6,N
-13.88311,-38.94934,314.9,0.53,0.42,2021-01-01,0406,1,nominal,2.0NRT,293.3,2.6,N
-12.6544,-46.83883,349.3,0.5,0.41,2021-01-01,0406,1,nominal,2.0NRT,297.3,4.6,N
-12.6536,-46.84341,315.5,0.5,0.41,2021-01-01,0406,1,nominal,2.0NRT,293.9,4.6,N
-13.43399,-43.80243,322,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,297.1,2.5,N
-13.43731,-43.80297,308,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,296.2,1.5,N
-13.62847,-44.51479,313.6,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,293.6,1.5,N
-14.11928,-41.67935,314.9,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,293.7,1.4,N
-13.99667,-42.556,314.1,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,291.6,1.3,N
-14.2529,-41.60429,304.3,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,293,0.8,N
-14.25574,-41.60858,307.9,0.41,0.37,2021-01-01,0406,1,nominal,2.0NRT,293,0.8,N
-14.17325,-43.6624,309.7,0.38,0.36,2021-01-01,0406,1,nominal,2.0NRT,292.4,1.1,N
-12.89485,-51.73673,300.7,0.33,0.55,2021-01-01,0406,1,nominal,2.0NRT,283.7,0.7,N
-12.89543,-51.73367,303.7,0.33,0.55,2021-01-01,0406,1,nominal,2.0NRT,284.5,0.8,N
-14.38328,-46.11282,300.4,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,287.8,0.7,N
-14.38366,-46.11205,305.6,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,288.4,0.9,N
-14.38649,-46.1167,310.7,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,289.4,1.2,N
-14.38718,-46.11268,304.6,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,288.9,0.9,N
-12.85386,-56.32537,302.3,0.67,0.73,2021-01-01,0406,1,nominal,2.0NRT,276,2.2,N
-15.52398,-43.23581,306.9,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,293.2,0.7,N
-15.97042,-44.89332,313.6,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,293.3,2,N
-16.73301,-39.86908,310.7,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,291.3,1.4,N
